"name","mana_cost","combined_mana_cost","card_text","power","toughness","standard","commander","type","First_keyword","Second_keyword","Third_keyword","Fourth_keyword","Fifth_keyword","layout","prints_search_uri","rarity","number_keywords","Flying","Deathtouch","Haste","Vigilance","Broad_type","sanitised_name","Sixth_keyword"
"Dog Umbra","{1}{W}",2,"FlashEnchant creatureAs long as another player controls enchanted creature, it can't attack or block. Otherwise, this Aura has umbra armor. (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)",NA,NA,"not_legal","legal","Enchantment — Aura","Enchant","Flash",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ae475c96f-6cf8-4139-92fd-f68ecaae4893&unique=prints","common",2,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Dog Umbra",NA
"Runic Shot","{W}",1,"Kicker {U} (You may pay an additional {U} as you cast this spell.)Destroy target tapped creature. If this spell was kicked, scry 2.",NA,NA,"legal","legal","Sorcery","Scry","Kicker",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aaa597788-4149-48b8-9f43-8c0de063eb68&unique=prints","uncommon",2,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Runic Shot",NA
"Clockwork Drawbridge","{W}",1,"Defender{2}{W}, {T}: Tap target creature.",0,3,"legal","legal","Artifact Creature — Wall","Defender",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ae49eb21c-2a0d-4fd0-9f69-1bff6e94f9e7&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Clockwork Drawbridge",NA
"Argivian Phalanx","{5}{W}",6,"Affinity for creatures (This spell costs {1} less to cast for each creature you control.)Vigilance (Attacking doesn't cause this creature to tap.)",4,4,"legal","legal","Creature — Human Kor Soldier","Affinity","Vigilance",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A1ca8d2cb-58ba-476b-a4f2-1bf273a54cf3&unique=prints","common",2,"Not flying","Not deathtouch","Not haste","Vigilance","Creature","Argivian Phalanx",NA
"Kinjalli's Dawnrunner","{2}{W}",3,"Double strikeWhen this creature enters, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",1,1,"legal","legal","Creature — Human Scout","Explore","Double strike",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ab6565da9-773c-49b1-85f5-e34f07ba84cb&unique=prints","uncommon",2,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Kinjallis Dawnrunner",NA
"Deconstruction Hammer","{W}",1,"Equipped creature gets +1/+1 and has ""{3}, {T}, Sacrifice Deconstruction Hammer: Destroy target artifact or enchantment.""Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",NA,NA,"legal","legal","Artifact — Equipment","Equip",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Accc2eb6d-21cf-45cf-b4e4-4b2a2517136a&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Artifact","Deconstruction Hammer",NA
"Oltec Cloud Guard","{3}{W}",4,"FlyingWhen this creature enters, create a 1/1 colorless Gnome artifact creature token.",3,2,"legal","legal","Creature — Human Soldier","Flying",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A922a8e27-a367-40c6-84df-86ed32f71c7c&unique=prints","common",1,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Oltec Cloud Guard",NA
"Citizen's Crowbar","{1}{W}",2,"When this Equipment enters, create a 1/1 green and white Citizen creature token, then attach this Equipment to it.Equipped creature gets +1/+1 and has ""{W}, {T}, Sacrifice Citizen's Crowbar: Destroy target artifact or enchantment.""Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",NA,NA,"not_legal","legal","Artifact — Equipment","Equip",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A64c7e03d-ba38-4979-8889-9bf0e7b8c66e&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Artifact","Citizens Crowbar",NA
"Brokers Initiate","{W}",1,"{4}{G/U}: This creature has base power and toughness 5/5 until end of turn.",0,4,"not_legal","legal","Creature — Cat Citizen",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A9bdf033e-87d4-4bc4-ba08-4b497cc1b559&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Brokers Initiate",NA
"Traveling Minister","{W}",1,"{T}: Target creature gets +1/+0 until end of turn. You gain 1 life. Activate only as a sorcery.",1,1,"not_legal","legal","Creature — Human Cleric",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A1d789ccd-8192-41b1-a5bb-1e2174657698&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Traveling Minister",NA
"Ritual Guardian","{2}{W}",3,"Coven — At the beginning of combat on your turn, if you control three or more creatures with different powers, this creature gains lifelink until end of turn.",3,2,"not_legal","legal","Creature — Human Soldier","Coven",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A9f4719f2-0eab-464b-9ae5-2b96717ae08d&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Ritual Guardian",NA
"Clever Lumimancer","{W}",1,"Magecraft — Whenever you cast or copy an instant or sorcery spell, this creature gets +2/+2 until end of turn.",0,1,"not_legal","legal","Creature — Human Wizard","Magecraft",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A901eb916-f318-4a30-a43e-8e7f9eef358b&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Clever Lumimancer",NA
"Stonerise Spirit","{1}{W}",2,"Flying{4}, Exile a card from your graveyard: Target creature gains flying until end of turn.",1,2,"not_legal","legal","Creature — Spirit Bird","Flying",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A9fbab5bc-c651-46dc-89b6-0bcfeadb3891&unique=prints","common",1,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Stonerise Spirit",NA
"Trapped in the Screen","{2}{W}",3,"Ward {2} (Whenever this enchantment becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)When this enchantment enters, exile target artifact, creature, or enchantment an opponent controls until this enchantment leaves the battlefield.",NA,NA,"legal","legal","Enchantment","Ward",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A20f2fc0e-b1d4-4f80-9c7a-a9fb25fef7b8&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Trapped in the Screen",NA
"Planar Ally","{3}{W}{W}",5,"FlyingWhenever this creature attacks, venture into the dungeon. (Enter the first room or advance to the next room.)",3,3,"not_legal","legal","Creature — Angel","Flying","Venture into the dungeon",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A9ae30bd5-b638-4647-b59d-ffe08e77c182&unique=prints","common",2,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Planar Ally",NA
"Priest of Ancient Lore","{2}{W}",3,"When this creature enters, you gain 1 life and draw a card.",2,1,"not_legal","legal","Creature — Dwarf Cleric",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aa89b0fd5-84b2-487c-8b03-e78d97276fd3&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Priest of Ancient Lore",NA
"Urza's Rage","{2}{R}",3,"Kicker {8}{R} (You may pay an additional {8}{R} as you cast this spell.)This spell can't be countered.Urza's Rage deals 3 damage to any target. If this spell was kicked, instead it deals 10 damage to that permanent or player and the damage can't be prevented.",NA,NA,"not_legal","legal","Instant","Kicker",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A363f8c66-fe0c-44b9-987d-1d160e3f9c54&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Urzas Rage",NA
"Stensia Uprising","{2}{R}{R}",4,"At the beginning of your end step, create a 1/1 red Human creature token. Then if you control exactly thirteen permanents, you may sacrifice this enchantment. When you do, it deals 7 damage to any target.",NA,NA,"not_legal","legal","Enchantment",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aa881bf6e-6247-4adb-9f9c-e4b928692573&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Stensia Uprising",NA
"Pia and Kiran Nalaar","{2}{R}{R}",4,"When Pia and Kiran Nalaar enters, create two 1/1 colorless Thopter artifact creature tokens with flying.{2}{R}, Sacrifice an artifact: Pia and Kiran Nalaar deals 2 damage to any target.",2,2,"not_legal","legal","Legendary Creature — Human Artificer",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A86084ed9-b8bb-4289-9579-6056194787bc&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Pia and Kiran Nalaar",NA
"Skoa, Embermage","{4}{R}{R}",6,"When Skoa enters, it deals 4 damage to any target.Grandeur — Discard another card named Skoa, Embermage, Sacrifice two Mountains: Skoa deals 4 damage to any target.",4,4,"not_legal","legal","Legendary Creature — Goblin Wizard","Grandeur",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A0e49ee63-a293-4b33-98cc-ebdcc2c64e82&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Skoa, Embermage",NA
"Gimli's Fury","{1}{R}",2,"Target creature gets +3/+2 until end of turn. If it's legendary, it also gains trample until end of turn.",NA,NA,"not_legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A1b550c27-14b0-45fb-b17e-fcb061dc6ad0&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Gimlis Fury",NA
"Erebor Flamesmith","{1}{R}",2,"Whenever you cast an instant or sorcery spell, this creature deals 1 damage to each opponent.",2,1,"not_legal","legal","Creature — Dwarf Artificer",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A6eb93545-a1a6-4447-82c5-421d8e9f023d&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Erebor Flamesmith",NA
"Cathartic Reunion","{1}{R}",2,"As an additional cost to cast this spell, discard two cards.Draw three cards.",NA,NA,"not_legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A0f3c3e5f-6af3-4af2-8703-4ccc8ed8f675&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Cathartic Reunion",NA
"Hammerhand","{R}",1,"Enchant creatureWhen this Aura enters, target creature can't block this turn.Enchanted creature gets +1/+1 and has haste.",NA,NA,"legal","legal","Enchantment — Aura","Enchant",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A8efa0026-c3f8-44e0-8f55-729f9c30ac93&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Hammerhand",NA
"Idol of the Deep King // Sovereign's Macuahuitl",NA,3,NA,NA,NA,"legal","legal","Artifact // Artifact — Equipment","Craft","Transform","Equip","Flash",NA,"transform","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ae7ba349e-b9c1-4373-b79f-755688138b7c&unique=prints","common",4,"Not flying","Not deathtouch","Not haste","Not vigilance","Artifact","Idol of the Deep King // Sovereigns Macuahuitl",NA
"Abrade","{1}{R}",2,"Choose one —• Abrade deals 3 damage to target creature.• Destroy target artifact.",NA,NA,"legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Af9db72dc-9a5b-48a4-a86e-7464d9a2166a&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Abrade",NA
"Light 'Em Up","{1}{R}",2,"Casualty 2 (As you cast this spell, you may sacrifice a creature with power 2 or greater. When you do, copy this spell and you may choose a new target for the copy.)Light 'Em Up deals 2 damage to target creature or planeswalker.",NA,NA,"not_legal","legal","Sorcery","Casualty",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ac6932bcf-d66b-42c1-8ca4-6a4573e0f6bf&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Light Em Up",NA
"Ready to Rumble","{4}{R}",5,"Choose one —• Ready to Rumble deals 5 damage to target creature or planeswalker.• Destroy target artifact.",NA,NA,"not_legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A04dd9395-847b-46f7-a669-9b0df89d01ff&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Ready to Rumble",NA
"Alluring Suitor // Deadly Dancer",NA,3,NA,NA,NA,"not_legal","legal","Creature — Vampire // Creature — Vampire","Transform","Trample",NA,NA,NA,"transform","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ae98e8129-3e0e-45cc-b00c-1387cc592023&unique=prints","uncommon",2,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Alluring Suitor // Deadly Dancer",NA
"Lunar Frenzy","{X}{R}",1,"Target creature you control gets +X/+0 and gains first strike and trample until end of turn.",NA,NA,"not_legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ad95fc2cb-5e49-4a22-a93e-d21cf64dcd84&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Lunar Frenzy",NA
"Sudden Breakthrough","{1}{R}",2,"Target creature gets +2/+0 and gains first strike until end of turn.Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",NA,NA,"not_legal","legal","Instant","Treasure",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Af5576cd4-6b21-4b29-902c-9c1fbdd7b2be&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Sudden Breakthrough",NA
"Vengeful Possession","{2}{R}",3,"Gain control of target creature until end of turn. Untap it. It gains haste until end of turn. You may discard a card. If you do, draw a card.",NA,NA,"legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A1afb9ce6-658e-40e4-a4a2-9a68182a1e73&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Vengeful Possession",NA
"Diversion Specialist","{3}{R}",4,"Menace (This creature can't be blocked except by two or more creatures.){1}, Sacrifice another creature or enchantment: Exile the top card of your library. You may play it this turn.",4,3,"legal","legal","Creature — Human Warrior","Menace",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A7130d063-fc1b-408b-97f2-14cb6b55d9cd&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Diversion Specialist",NA
"Bedhead Beastie","{4}{R}{R}",6,"Menace (This creature can't be blocked except by two or more creatures.)Mountaincycling {2} ({2}, Discard this card: Search your library for a Mountain card, reveal it, put it into your hand, then shuffle.)",5,6,"legal","legal","Creature — Beast","Mountaincycling","Landcycling","Menace","Typecycling","Cycling","normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A7143d82a-931a-4918-bb14-37bc5b9a4d99&unique=prints","common",5,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Bedhead Beastie",NA
"Most Valuable Slayer","{3}{R}",4,"Whenever you attack, target attacking creature gets +1/+0 and gains first strike until end of turn.",2,4,"legal","legal","Creature — Human Warrior",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Af5bece93-afb3-4fa4-83a8-d7eaac032522&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Most Valuable Slayer",NA
"Hoarding Ogre","{3}{R}",4,"Whenever this creature attacks, roll a d20.1—9 | Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")10—19 | Create two Treasure tokens.20 | Create three Treasure tokens.",3,3,"not_legal","legal","Creature — Ogre","Treasure",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Afaeee3a7-c66c-48d8-a994-12377d3bb729&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Hoarding Ogre",NA
"Goblin Javelineer","{R}",1,"HasteWhenever this creature becomes blocked, it deals 1 damage to target creature blocking it.",1,1,"not_legal","legal","Creature — Goblin Warrior","Haste",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ae35c8206-98d0-44ab-8770-823a5ff7ab72&unique=prints","common",1,"Not flying","Not deathtouch","Haste","Not vigilance","Creature","Goblin Javelineer",NA
"Price of Loyalty","{2}{R}",3,"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. If mana from a Treasure was spent to cast this spell, that creature gets +2/+0 until end of turn.",NA,NA,"not_legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Af25b97f9-8ca2-40f7-9d55-47fa8bb2054e&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Price of Loyalty",NA
"Bandit's Talent","{1}{B}",2,"(Gain the next level as a sorcery to add its ability.)When this Class enters, each opponent discards two cards unless they discard a nonland card.{B}: Level 2At the beginning of each opponent's upkeep, if that player has one or fewer cards in hand, they lose 2 life.{3}{B}: Level 3At the beginning of your draw step, draw an additional card for each opponent who has one or fewer cards in hand.",NA,NA,"legal","legal","Enchantment — Class",NA,NA,NA,NA,NA,"class","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Abcbe879a-4609-4493-bd7d-47c26d27e83c&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Bandits Talent",NA
"Awaken the Erstwhile","{3}{B}{B}",5,"Each player discards all the cards in their hand, then creates that many 2/2 black Zombie creature tokens.",NA,NA,"not_legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A06fa6719-aa4f-4857-8029-e42d01232645&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Awaken the Erstwhile",NA
"Phylactery Lich","{B}{B}{B}",3,"IndestructibleAs this creature enters, put a phylactery counter on an artifact you control.When you control no permanents with phylactery counters on them, sacrifice this creature.",5,5,"not_legal","legal","Creature — Zombie","Indestructible",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A520c4d88-34b6-4a26-81ca-65eb8b10461c&unique=prints","rare",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Phylactery Lich",NA
"Urgoros, the Empty One","{4}{B}{B}",6,"FlyingWhenever Urgoros deals combat damage to a player, that player discards a card at random. If the player can't, you draw a card.",4,3,"not_legal","legal","Legendary Creature — Specter","Flying",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A43e7b834-d3a9-4297-bf79-2dab5507bebe&unique=prints","uncommon",1,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Urgoros, the Empty One",NA
"Celestial Kirin","{2}{W}{W}",4,"FlyingWhenever you cast a Spirit or Arcane spell, destroy all permanents with that spell's mana value.",3,3,"not_legal","legal","Legendary Creature — Kirin Spirit","Flying",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aa5f7967e-d357-4ab6-96ac-77262864f280&unique=prints","rare",1,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Celestial Kirin",NA
"Tax Collector","{1}{W}",2,"When this creature enters, choose one —• Tax — Until your next turn, spells your opponents cast cost {1} more to cast.• Arrest — Detain target creature an opponent controls. (Until your next turn, that creature can't attack or block and its activated abilities can't be activated.)",2,2,"not_legal","legal","Creature — Human Advisor","Detain",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A66837faa-fbde-456d-b00f-eb17fbdd04aa&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Tax Collector",NA
"Butcher of Malakir","{5}{B}{B}",7,"FlyingWhenever this creature or another creature you control dies, each opponent sacrifices a creature of their choice.",5,4,"not_legal","legal","Creature — Vampire Warrior","Flying",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aa85197ab-dc94-4b72-9716-8dbdbbe90ff8&unique=prints","rare",1,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Butcher of Malakir",NA
"Consuming Vapors","{3}{B}",4,"Target player sacrifices a creature of their choice. You gain life equal to that creature's toughness.Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)",NA,NA,"not_legal","legal","Sorcery","Rebound",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aa10ce333-48d7-499b-9355-f381f2395497&unique=prints","rare",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Consuming Vapors",NA
"Tombstalker","{6}{B}{B}",8,"FlyingDelve (Each card you exile from your graveyard while casting this spell pays for {1}.)",5,5,"not_legal","legal","Creature — Demon","Flying","Delve",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A944735ad-3f17-421a-b8fa-40f3bb8456f2&unique=prints","rare",2,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Tombstalker",NA
"Remorseless Punishment","{3}{B}{B}",5,"Target opponent loses 5 life unless that player discards two cards or sacrifices a creature or planeswalker of their choice. Repeat this process once.",NA,NA,"not_legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A42e07167-b490-46ad-9b5c-b483a4bb64e3&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Remorseless Punishment",NA
"Vulturous Aven","{3}{B}",4,"FlyingExploit (When this creature enters, you may sacrifice a creature.)When this creature exploits a creature, you draw two cards and you lose 2 life.",2,3,"not_legal","legal","Creature — Bird Shaman","Flying","Exploit",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A83c0c648-f000-470d-bcc3-9ec81257d0cd&unique=prints","common",2,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Vulturous Aven",NA
"Conifer Strider","{3}{G}",4,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)",5,1,"not_legal","legal","Creature — Elemental","Hexproof",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A6175197f-cf3c-41df-9d24-b4fffa09631a&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Conifer Strider",NA
"Volcanic Rush","{4}{R}",5,"Attacking creatures get +2/+0 and gain trample until end of turn.",NA,NA,"not_legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A6944261c-9f35-4a51-9b1a-c29e24f292e1&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Volcanic Rush",NA
"Flatten","{3}{B}",4,"Target creature gets -4/-4 until end of turn.",NA,NA,"not_legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Abc5d5084-77de-4dc5-8769-300eafcbfee7&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Flatten",NA
"Tread Upon","{1}{G}",2,"Target creature gets +2/+2 and gains trample until end of turn.",NA,NA,"not_legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A0b3bdbc6-cde7-4187-b13c-82fd02ae4037&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Tread Upon",NA
"Magmatic Chasm","{1}{R}",2,"Creatures without flying can't block this turn.",NA,NA,"not_legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A6cfd2cd8-a86e-48fe-a85a-9a3444b5030c&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Magmatic Chasm",NA
"Center Soul","{1}{W}",2,"Target creature you control gains protection from the color of your choice until end of turn.Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)",NA,NA,"not_legal","legal","Instant","Rebound",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A686b44ec-3446-4e1f-a15f-9d8557db6d70&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Center Soul",NA
"Ancient Carp","{4}{U}",5,NA,2,5,"not_legal","legal","Creature — Fish",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A84122d1e-7657-42fa-8724-c4a3a19729a6&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Ancient Carp",NA
"Territorial Roc","{1}{W}",2,"Flying",1,3,"not_legal","legal","Creature — Bird","Flying",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aadb5883d-44cc-455e-94dc-20e1c1f97d68&unique=prints","common",1,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Territorial Roc",NA
"Dirgur Nemesis","{5}{U}",6,"DefenderMegamorph {6}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)",6,5,"not_legal","legal","Creature — Serpent","Defender","Megamorph",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ac08b444b-6617-4199-b9da-5d4e81cd7597&unique=prints","common",2,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Dirgur Nemesis",NA
"Echoes of the Kin Tree","{1}{W}",2,"{2}{W}: Bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)",NA,NA,"not_legal","legal","Enchantment","Bolster",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A9863a7da-6f51-4d3e-9ace-e8ff201faf13&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Echoes of the Kin Tree",NA
"Ambuscade Shaman","{2}{B}",3,"Whenever this creature or another creature you control enters, that creature gets +2/+2 until end of turn.Dash {3}{B} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)",2,2,"not_legal","legal","Creature — Orc Shaman","Dash",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A96e1d890-4ebb-4c79-8df9-24e3adaf4d9b&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Ambuscade Shaman",NA
